,date,event,location
0,2024-01-10,Severe winter storm hits Northeastern United States,USA
1,2024-02-18,"Winter Olympics held in Milan-Cortina d'Ampezzo, Italy",Italy
2,2024-03-31,"Global economic summit focuses on inflation, supply chain recovery and sustainability",Global
3,2024-05-22,G7 Summit addresses climate change and pandemic preparedness,Japan
4,2024-06-15,UN Climate Change Conference (COP29) convenes with new emissions targets,Global
5,2024-07-26 to 2024-08-11,"Summer Olympics held in Paris, France, showcasing new sports",France
6,2024-09-10,Major elections scheduled in multiple countries including the US Presidential Race,Global
7,2024-10-20,"Global tech summit focuses on advances in AI, robotics and sustainability",Global
8,2024-11-01,UN General Assembly special session on food security and global health,Global
9,2024-12-01,Review of global climate action progress at COP29 follow-up meeting,Global
10,2024-12-31,"Global inflation rates stabilize, major central banks adjust interest rates",Global
